# Program:featureCounts v2.0.0; Command:"featureCounts" "-a" "Saccharomyces_cerevisiae.R64-1-1.106.gtf" "-o" "result.txt" "./Aligned_Files/ERR2198545.sam" "./Aligned_Files/ERR2198546.sam" "./Aligned_Files/ERR2198547.sam" "./Aligned_Files/ERR2198548.sam" "./Aligned_Files/ERR2198593.sam" "./Aligned_Files/ERR2198594.sam" "./Aligned_Files/ERR2198595.sam" "./Aligned_Files/ERR2198596.sam" 
Geneid	Chr	Start	End	Strand	Length	./Aligned_Files/ERR2198545.sam	./Aligned_Files/ERR2198546.sam	./Aligned_Files/ERR2198547.sam	./Aligned_Files/ERR2198548.sam	./Aligned_Files/ERR2198593.sam	./Aligned_Files/ERR2198594.sam	./Aligned_Files/ERR2198595.sam	./Aligned_Files/ERR2198596.sam
YDL131W	IV	227393	228715	+	1323	3431	3506	2984	2988	2072	2204	1805	1738
YDR458C	IV	1380055	1382046	-	1992	792	887	704	753	625	583	534	545
YDR081C	IV	607304	610081	-	2778	1003	1004	786	826	636	678	632	513
YDL071C	IV	330666	331040	-	375	60	43	43	45	35	32	25	38
YDR113C	IV	680496	681617	-	1122	654	678	595	599	500	505	502	527
YDR168W	IV	790328	791848	+	1521	2698	2818	2367	2360	1579	1767	1560	1386
YDR520C	IV	1481085	1483403	-	2319	294	370	298	322	258	240	203	274
YDR307W	IV	1075865	1077853	+	1989	821	823	749	759	606	647	557	528
YDR265W	IV	998864	999877	+	1014	332	350	312	313	351	362	277	350
YDL076C	IV	320668	321552	-	885	543	580	420	428	382	460	338	377
YDL006W	IV	439909	440754	+	846	402	337	334	320	340	306	266	292
YDL086W	IV	301413	302234	+	822	335	337	268	278	263	308	224	230
YDR238C	IV	937895	940816	-	2922	1678	1714	1514	1526	1329	1350	1144	1086
YDR077W	IV	600793	601809	+	1017	130168	136855	112933	114087	92729	99035	81220	81382
YDR381C-A	IV;IV	1238312;1238825	1238630;1238850	-;-	345	325	367	297	262	296	277	237	266
YDL023C	IV	411761	412081	-	321	4	6	3	5	0	0	1	0
YDL083C	IV;IV	306926;307766	307333;307789	-;-	432	591	664	527	602	471	562	420	528
YDR036C	IV	523211	524713	-	1503	29	34	21	34	25	23	21	18
YDR057W	IV	565927	567555	+	1629	877	1015	814	791	770	728	626	592
YDR513W	IV	1471017	1471448	+	432	510	484	412	465	425	446	444	421
YDR487C	IV	1428354	1428980	-	627	741	906	728	720	585	741	562	601
YDR066C	IV	581908	582498	-	591	90	119	117	83	106	97	90	78
YDR352W	IV	1181801	1182754	+	954	240	232	206	201	176	194	197	166
YDR278C	IV	1017001	1017318	-	318	3	3	4	0	1	0	2	2
YDR079C-A	IV	603593	603811	-	219	131	132	112	107	41	44	50	44
YDR204W	IV	858137	859144	+	1008	751	785	682	658	737	719	523	642
YDL247W-A	IV	3762	3836	+	75	10	11	14	6	3	5	5	6
YDL024C	IV	408451	409857	-	1407	205	233	192	195	164	152	157	188
tA(AGC)D	IV	410379	410451	+	73	0	0	0	0	0	0	0	0
YDR109C	IV	673520	675667	-	2148	828	871	683	641	569	669	533	505
YDR466W	IV	1395121	1397817	+	2697	764	857	730	690	583	643	525	481
YDR427W	IV	1322205	1323386	+	1182	1940	1935	1773	1657	1436	1323	1251	1160
YDL044C	IV	373967	375289	-	1323	285	314	298	302	246	251	226	204
YDL079C	IV;IV	312951;314337	314044;314748	-;-	1506	783	887	665	761	585	706	569	557
YDR193W	IV	844554	844952	+	399	0	0	0	2	0	0	0	0
YDR305C	IV;IV	1072746;1073402	1073312;1073488	-;-	654	441	461	386	426	330	313	289	307
YDR377W	IV	1228611	1228916	+	306	1346	1429	1214	1118	1169	1188	1035	1032
YDR219C	IV	905455	906852	-	1398	498	481	486	432	361	378	321	297
YDR416W	IV	1298432	1301011	+	2580	336	329	341	298	227	242	207	179
YDR365C	IV	1204497	1206383	-	1887	4165	4448	3573	3782	5083	5194	4498	4543
YDL233W	IV	36797	38173	+	1377	301	299	264	252	254	217	209	205
YDR287W	IV	1035995	1036873	+	879	548	612	541	555	486	478	415	454
YDR448W	IV	1356065	1357369	+	1305	309	328	283	259	219	237	198	192
YDR180W	IV	821295	825776	+	4482	264	276	225	220	141	119	95	129
tF(GAA)D	IV;IV	1095370;1095425	1095405;1095461	-;-	73	2	4	4	4	2	0	1	0
tT(AGU)D	IV	434264	434336	-	73	0	0	0	0	0	0	0	3
YDR294C	IV	1050459	1052228	-	1770	1092	1151	999	1050	993	1142	982	942
YDR198C	IV	852533	853972	-	1440	390	476	386	381	248	206	205	222
YDL163W	IV	166956	167258	+	303	0	0	0	0	0	0	0	0
YDL119C	IV	246689	247612	-	924	111	115	90	121	104	99	79	79
YDR501W	IV	1451353	1452918	+	1566	216	222	218	180	168	200	167	204
YDL214C	IV	74446	76545	-	2100	1217	1389	1230	1116	1359	1306	1092	1132
YDR264C	IV	996029	998323	-	2295	892	926	751	775	1038	1059	949	976
YDR343C	IV	1159608	1161320	-	1713	1238	1263	1243	1048	1766	1975	1705	1679
YDR373W	IV	1222759	1223331	+	573	487	479	438	457	315	398	301	303
YDR354W	IV	1184747	1185889	+	1143	746	835	643	731	538	606	494	455
YDR246W	IV	954288	954947	+	660	1034	1121	1028	1002	971	1050	929	870
YDR428C	IV	1323454	1324239	-	786	96	122	88	115	90	92	111	91
YDR157W	IV	769931	770332	+	402	7	10	2	8	5	2	2	3
YDR316W	IV	1093763	1095178	+	1416	570	714	584	547	420	441	415	406
YDL142C	IV	201719	202570	-	852	305	311	253	306	211	229	195	196
YDR253C	IV	963990	964565	-	576	463	527	372	377	326	369	291	267
YDL112W	IV	258915	263225	+	4311	608	646	601	506	506	482	375	370
YDR545W	IV	1526321	1531711	+	5391	15	29	21	20	36	26	38	14
YDL187C	IV	125509	125838	-	330	0	1	0	0	1	0	0	1
YDL138W	IV	213351	215642	+	2292	690	728	556	668	575	549	435	478
YDR528W	IV	1494586	1495857	+	1272	253	239	221	256	170	146	168	207
YDR284C	IV	1030550	1031419	-	870	313	307	272	263	273	309	252	239
YDR050C	IV	555726	556472	-	747	2143	2151	1791	1906	2311	2391	1986	1912
YDL010W	IV	432330	433025	+	696	254	216	208	211	162	156	165	159
YDL065C	IV	336249	337277	-	1029	979	1154	949	899	807	844	718	722
YDR349C	IV	1172386	1174176	-	1791	725	755	622	634	652	561	505	515
YDL098C	IV	284581	285165	-	585	197	185	180	183	120	137	111	117
YDL234C	IV	34237	36477	-	2241	1418	1464	1248	1233	1088	1052	931	951
YDR118W	IV	685882	687840	+	1959	261	314	279	239	140	186	194	166
YDR118W-A	IV	687768	687884	+	117	2	6	2	3	1	0	1	0
YDR159W	IV	771877	775782	+	3906	445	389	363	354	335	342	300	302
YDR111C	IV	678241	679764	-	1524	550	584	474	479	579	555	532	520
YDR128W	IV	709549	712995	+	3447	606	623	564	576	539	525	485	470
YDL034W	IV	391783	392127	+	345	7	6	2	2	1	5	0	3
YDR065W	IV	580687	581784	+	1098	237	223	214	195	176	193	128	168
YDL004W	IV	443029	443511	+	483	2218	2403	2127	2173	2163	2036	1821	1938
YDR024W	IV	491017	491502	+	486	8	4	3	6	4	7	2	2
YDL171C	IV	149203	155640	-	6438	3326	3466	3224	3061	2100	2273	1940	1878
YDR083W	IV	612073	613251	+	1179	499	574	439	531	351	284	274	277
YDR457W	IV	1369790	1379596	+	9807	1380	1482	1278	1161	870	844	774	687
YDR014W	IV	474046	475989	+	1944	282	281	247	233	155	142	93	132
YDR206W	IV	862054	864708	+	2655	933	1169	860	958	797	792	761	694
YDR478W	IV	1414575	1415171	+	597	193	176	144	129	126	127	117	87
YDR169C	IV	792348	793889	-	1542	1451	1475	1235	1203	1228	1291	993	956
YDR115W	IV	682175	682492	+	318	114	98	126	101	84	85	97	87
YDL159W-A	IV	172182	172313	+	132	1	4	4	1	0	4	2	2
YDL232W	IV	38487	38597	+	111	90	101	77	78	91	90	66	78
YDL240C-A	IV	22471	22608	-	138	0	2	0	0	0	1	3	0
tE(CUC)D	IV	1017207	1017278	-	72	0	0	0	0	0	0	0	0
YDL152W	IV	182822	183187	+	366	0	0	0	0	0	0	0	0
YDR432W	IV	1328783	1330027	+	1245	1371	1599	1386	1344	1125	1163	971	891
YDL022C-A	IV	409808	410056	-	249	13	20	12	12	11	6	7	5
YDL114W-A	IV	254935	255048	+	114	0	0	0	0	0	0	0	0
YDR410C	IV	1292372	1293091	-	720	147	126	165	156	118	134	78	106
YDR464C-A	IV	1392492	1392680	-	189	0	0	0	0	0	0	0	0
YDL072C	IV	329836	330447	-	612	903	856	846	754	734	770	718	638
YDR053W	IV	560249	560644	+	396	4	1	2	2	1	1	1	0
YDL012C	IV;IV	431108;431473	431386;431517	-;-	324	503	592	476	515	390	413	388	373
YDR482C	IV	1420431	1420838	-	408	382	368	339	336	318	380	300	292
YDL070W	IV	331024	332940	+	1917	2360	2561	2171	2138	1371	1451	1280	1185
YDR064W	IV;IV	579458;580018	579478;580452	+;+	456	1213	1285	1087	1060	925	836	749	777
YDL135C	IV	218680	219288	-	609	1024	994	872	934	735	807	626	664
YDL077C	IV	316971	320120	-	3150	339	355	287	271	278	272	198	217
YDR354C-A	IV	1185139	1185282	-	144	0	0	0	0	0	0	0	0
YDL033C	IV	392659	393912	-	1254	229	195	144	136	154	168	150	181
YDL031W	IV	394217	397204	+	2988	994	1009	857	843	676	683	602	587
YDR398W	IV	1267471	1269402	+	1932	650	664	550	530	453	476	427	368
YDR326C	IV	1120609	1124925	-	4317	429	457	496	415	276	299	271	207
YDL052C	IV	362672	363583	-	912	493	481	416	426	519	578	470	417
YDR536W	IV	1508005	1509714	+	1710	284	349	281	275	433	418	398	321
YDR397C	IV;IV	1266366;1266862	1266769;1266898	-;-	441	51	46	46	44	41	40	41	34
YDL116W	IV	251566	253746	+	2181	795	710	620	636	455	491	383	399
YDR028C	IV	497835	500879	-	3045	2028	2161	1789	1851	1487	1503	1262	1364
YDL007W	IV	438047	439360	+	1314	4031	4157	3577	3571	3064	3303	2871	2619
YDR236C	IV	935236	935892	-	657	437	373	334	391	278	300	224	255
YDR011W	IV	465919	470424	+	4506	1235	1332	1120	1129	976	1092	947	876
YDR155C	IV	768512	769000	-	489	4910	5220	4598	4510	4287	4471	3855	3740
YDR414C	IV	1295598	1296686	-	1089	300	394	292	295	252	251	202	225
YDR026C	IV	492556	494268	-	1713	772	696	647	622	492	497	458	395
YDL073W	IV	326613	329567	+	2955	578	559	506	535	361	358	330	326
tY(GUA)D	IV;IV	946312;946365	946350;946400	+;+	75	2	0	3	2	2	4	1	0
YDL115C	IV;IV	253995;255045	254974;255126	-;-	1062	1041	1098	861	924	877	889	781	771
YDL145C	IV	194571	198176	-	3606	2314	2485	2085	2102	1773	1840	1554	1577
YDR203W	IV	857682	857999	+	318	1	0	0	0	0	0	0	2
YDL104C	IV	273653	274876	-	1224	218	273	203	226	199	177	131	162
YDL149W	IV	184925	187918	+	2994	484	442	432	434	378	393	315	298
YDR231C	IV	926293	926910	-	618	141	152	141	123	156	149	159	130
YDR045C	IV	547978	548310	-	333	46	72	59	35	29	43	34	22
YDL075W	IV;IV	322226;322704	322282;322988	+;+	342	1051	1253	932	1062	972	980	897	864
YDR415C	IV	1297037	1298161	-	1125	451	431	348	368	345	391	295	312
YDR339C	IV	1149951	1150520	-	570	421	464	408	402	246	311	260	232
YDL213C	IV	77289	77966	-	678	784	885	720	675	511	545	478	442
YDR096W	IV	637139	639823	+	2685	1132	1260	1070	1098	1041	1133	907	931
YDL019C	IV	417663	421514	-	3852	1431	1446	1245	1159	1270	1331	1116	1044
YDL022W	IV	411825	413000	+	1176	2116	2077	1847	1843	1988	1886	1680	1662
YDR413C	IV	1294836	1295411	-	576	1	1	2	2	0	0	0	0
YDR391C	IV	1257358	1258056	-	699	226	165	188	160	140	184	148	154
YDR091C	IV	626708	628534	-	1827	1072	1152	999	859	593	644	524	526
YDR240C	IV	943674	945152	-	1479	213	256	228	195	149	202	132	128
YDL244W	IV	16204	17226	+	1023	32	29	24	30	37	43	22	40
YDR179C	IV	818708	819196	-	489	126	152	105	135	42	67	60	56
YDL165W	IV	164290	164865	+	576	221	263	234	199	232	262	193	222
YDL140C	IV	205360	210561	-	5202	3864	4019	3181	3413	2966	3307	2687	2794
YDR120C	IV	691549	693261	-	1713	881	906	848	805	631	648	533	530
YDR003W	IV	454122	454754	+	633	449	520	385	460	393	468	451	453
YDR499W	IV	1447830	1450073	+	2244	720	816	662	693	551	580	461	449
YDR166C	IV	786306	789221	-	2916	701	871	659	656	576	572	496	459
YDL092W	IV	292781	293221	+	441	661	676	642	601	447	483	382	349
YDL041W	IV	378102	378455	+	354	3	0	1	2	0	0	0	1
YDL241W	IV	20635	21006	+	372	16	18	21	19	13	23	8	25
YDL082W	IV;IV	308424;308793	308427;309388	+;+	600	893	1063	915	810	683	700	649	634
YDR277C	IV	1014401	1015702	-	1302	1416	1367	1265	1280	1154	1270	1077	1036
YDR291W	IV	1039728	1042961	+	3234	438	484	441	427	340	354	300	296
YDR475C	IV	1407464	1410094	-	2631	883	908	761	751	697	836	679	662
YDR244W	IV	950563	952401	+	1839	1137	1172	1117	1075	1049	1120	1023	902
YDR407C	IV	1284069	1287938	-	3870	631	665	554	560	387	393	381	394
YDR382W	IV	1239492	1239824	+	333	841	904	834	823	454	456	384	388
YDR102C	IV	657648	657980	-	333	6	8	4	2	0	3	7	0
YDL188C	IV	123865	124998	-	1134	720	758	712	692	594	625	531	489
YDR405W	IV	1277646	1278437	+	792	1202	1213	971	1000	1000	963	914	928
YDR443C	IV	1345676	1349938	-	4263	584	552	535	521	402	439	387	381
YDR059C	IV;IV	569234;569724	569633;569770	-;-	447	1233	1323	1232	1095	1278	1326	1210	1162
YDR144C	IV	744311	746101	-	1791	277	247	214	246	171	184	161	184
YDL157C	IV	174232	174588	-	357	163	168	146	110	126	116	122	101
YDL058W	IV	345665	351037	+	5373	833	811	715	745	566	624	580	489
YDL096C	IV	286998	287324	-	327	2	2	0	0	0	0	0	2
YDL155W	IV	176773	178056	+	1284	499	517	443	461	449	475	366	356
YDR147W	IV	751631	753235	+	1605	343	368	309	319	239	207	215	199
YDL191W	IV;IV	117664;118158	117666;118517	+;+	363	272	286	221	217	204	201	144	184
YDL128W	IV	232652	233887	+	1236	1451	1432	1166	1237	1278	1335	1113	1211
YDR310C	IV	1081128	1084316	-	3189	1386	1354	1195	1317	1033	1019	953	854
YDL160C-A	IV	169366	169608	-	243	34	42	49	42	29	36	22	16
YDR127W	IV	704484	709250	+	4767	2602	2774	2177	2263	1896	1880	1685	1551
YDR497C	IV	1443713	1445467	-	1755	3813	4197	3547	3481	2757	2852	2565	2502
YDL162C	IV	167359	167715	-	357	11	14	7	4	11	10	7	4
tS(AGA)D3	IV	1305630	1305712	+	83	0	0	0	0	0	0	0	0
YDR201W	IV	856317	856814	+	498	142	178	161	180	168	150	159	168
YDR163W	IV	781423	781950	+	528	1032	1152	1078	1065	931	967	880	877
YDL146W	IV	192750	194225	+	1476	86	105	74	84	60	59	42	47
YDR363W-A	IV	1202128	1202397	+	270	2372	2571	2128	2112	1922	2075	1771	1693
YDL221W	IV	62011	62562	+	552	40	63	40	54	39	54	43	51
YDL089W	IV	296820	298274	+	1455	367	409	373	291	251	274	272	220
YDR385W	IV	1243230	1245758	+	2529	1280	1337	1092	993	1209	1287	1159	1106
YDR331W	IV	1129588	1130823	+	1236	352	325	333	294	226	242	234	172
YDR196C	IV	850274	850999	-	726	394	474	437	382	345	414	360	333
YDR116C	IV	682724	683581	-	858	446	420	358	398	319	311	253	315
YDR001C	IV	450220	452475	-	2256	2365	2497	2073	2142	1625	1881	1522	1487
YDL230W	IV	42700	43707	+	1008	275	238	202	245	250	272	206	220
YDR160W	IV	776163	778721	+	2559	390	453	331	369	306	354	319	318
YDR123C	IV	698554	699468	-	915	576	625	516	551	427	480	352	370
YDR322W	IV	1110589	1111692	+	1104	437	467	340	367	327	345	299	273
YDR040C	IV	535192	538467	-	3276	57	61	47	36	22	45	31	33
YDR025W	IV;IV	491515;491899	491559;492324	+;+	471	1354	1488	1250	1233	1279	1341	1072	1079
YDR046C	IV	548762	550576	-	1815	49	96	45	56	62	72	53	43
YDL057W	IV	351434	352420	+	987	390	404	357	370	309	341	253	270
YDL248W	IV	1802	2953	+	1152	211	218	160	148	149	140	130	133
YDR008C	IV	462252	462602	-	351	0	3	7	1	1	0	1	0
YDR029W	IV	501100	501414	+	315	98	122	88	95	35	26	31	26
YDR485C	IV	1424820	1427207	-	2388	1115	1158	1020	1037	870	973	751	739
YDR408C	IV	1288215	1288859	-	645	370	349	312	295	327	333	293	259
YDR038C	IV	527422	530697	-	3276	4	11	10	8	12	4	1	2
YDL204W	IV	94605	95786	+	1182	5463	5679	4834	4803	4672	5204	4264	4163
YDR019C	IV	484163	485365	-	1203	1433	1474	1258	1303	1264	1235	1153	1113
YDR477W	IV	1412373	1414274	+	1902	1406	1497	1307	1254	1036	1145	956	1001
YDR254W	IV	965113	966489	+	1377	488	448	397	407	282	297	253	209
YDR514C	IV	1471548	1472999	-	1452	403	496	369	363	316	347	231	291
YDR296W	IV	1055212	1055892	+	681	508	570	484	438	461	559	434	461
YDL216C	IV	68997	70319	-	1323	373	467	343	320	287	304	274	253
YDL100C	IV	282112	283176	-	1065	1202	1421	1202	1219	1021	1042	949	851
YDL068W	IV	333500	333829	+	330	1	1	2	3	2	0	0	1
YDL026W	IV	404749	405060	+	312	4	1	0	2	0	0	0	0
YDL124W	IV	240259	241197	+	939	5334	5506	4629	4545	4740	4968	4259	4219
YDL227C	IV	46271	48031	-	1761	571	649	534	558	417	430	366	417
YDL111C	IV	263313	264110	-	798	285	294	308	267	270	217	198	208
YDR324C	IV	1114433	1116763	-	2331	903	980	836	831	449	473	476	393
YDL170W	IV	156318	157904	+	1587	644	619	559	603	472	483	479	395
YDR317W	IV	1102184	1103428	+	1245	180	166	152	149	99	106	85	106
YDR436W	IV	1334821	1336953	+	2133	789	821	732	685	686	728	616	677
YDR208W	IV	868224	870563	+	2340	1458	1496	1327	1295	1375	1371	1084	1173
YDR386W	IV	1246084	1247982	+	1899	231	272	245	223	180	203	210	183
YDR504C	IV	1456311	1456694	-	384	151	170	157	150	60	73	47	39
YDL220C	IV	62244	65018	-	2775	173	206	181	170	174	156	175	162
YDR396W	IV	1266295	1266795	+	501	40	28	26	29	17	17	14	9
YDR258C	IV	971808	974243	-	2436	8907	9202	8048	8048	7000	7426	6569	6387
YDR176W	IV	814452	816560	+	2109	1030	1035	847	1045	774	797	713	746
YDL099W	IV	283419	284444	+	1026	1239	1252	1074	1054	978	985	786	843
YDR380W	IV	1234218	1236125	+	1908	0	2	0	0	1643	1712	1536	1473
YDL110C	IV	264512	264964	-	453	4149	4355	4000	3869	3810	4119	3655	3516
YDR148C	IV	753675	755066	-	1392	3268	3298	2812	2896	2715	2820	2508	2316
YDL201W	IV	99561	100421	+	861	366	423	388	287	303	284	235	213
YDL107W	IV	268921	269976	+	1056	393	412	350	363	245	274	219	276
YDR515W	IV	1473429	1474772	+	1344	553	632	625	603	410	482	400	370
YDR133C	IV	720962	721297	-	336	4851	5552	4398	4678	5336	5798	4937	4717
YDR378C	IV	1229349	1229609	-	261	259	320	250	278	239	234	187	161
YDR473C	IV	1404445	1405854	-	1410	854	1019	777	785	626	709	519	493
YDR403W	IV	1274602	1276212	+	1611	166	178	132	152	181	132	147	154
YDR268W	IV	1004004	1005143	+	1140	174	149	170	147	130	129	105	103
